,,model,0
EC_Class,max,Knn,0.6988916111189256
EC_Class,max,Linear,0.858437959114363
EC_Class,max,RF,0.7658489869715747
EC_Class,max,SVM,0.8940708927551032
EC_ratio,count,Knn,150.0
EC_ratio,count,Linear,150.0
EC_ratio,count,RF,150.0
EC_ratio,count,SVM,150.0
EC_ratio,mean,Knn,0.7678138528138528
EC_ratio,mean,Linear,0.8618748610055704
EC_ratio,mean,RF,0.6868049771328749
EC_ratio,mean,SVM,0.7683404441642805
EC_ratio,std,Knn,0.009136908835081458
EC_ratio,std,Linear,0.012525738728097336
EC_ratio,std,RF,0.011973969667916636
EC_ratio,std,SVM,0.014043654025592791
EC_ratio,min,Knn,0.7451839826839827
EC_ratio,min,Linear,0.8373327231299955
EC_ratio,min,RF,0.6515569893318024
EC_ratio,min,SVM,0.7255323689421999
EC_ratio,25%,Knn,0.7617748917748919
EC_ratio,25%,Linear,0.8533624113105545
EC_ratio,25%,RF,0.6792399025365994
EC_ratio,25%,SVM,0.7591183892603526
EC_ratio,50%,Knn,0.7675108225108225
EC_ratio,50%,Linear,0.8609737127204939
EC_ratio,50%,RF,0.6854929748232715
EC_ratio,50%,SVM,0.7677254865009621
EC_ratio,75%,Knn,0.7741152597402599
EC_ratio,75%,Linear,0.8693406792980845
EC_ratio,75%,RF,0.6949488148747
EC_ratio,75%,SVM,0.7791750010464347
EC_ratio,max,Knn,0.788430735930736
EC_ratio,max,Linear,0.8962528283237553
EC_ratio,max,RF,0.7277492241104503
EC_ratio,max,SVM,0.8014324488422399
EC_ratio-diff,count,Knn,150.0
EC_ratio-diff,count,Linear,150.0
EC_ratio-diff,count,RF,150.0
EC_ratio-diff,count,SVM,150.0
EC_ratio-diff,mean,Knn,0.18660923177351743
EC_ratio-diff,mean,Linear,0.08682245038474574
EC_ratio-diff,mean,RF,0.2268807674158717
EC_ratio-diff,mean,SVM,0.15718713363126008
EC_ratio-diff,std,Knn,0.008482734738810747
EC_ratio-diff,std,Linear,0.008490475667942952
EC_ratio-diff,std,RF,0.010764546620359656
EC_ratio-diff,std,SVM,0.010950211913043155
EC_ratio-diff,min,Knn,0.1658895073180787
EC_ratio-diff,min,Linear,0.0643515272163129
EC_ratio-diff,min,RF,0.1921455828448063
EC_ratio-diff,min,SVM,0.1310242758726789
EC_ratio-diff,25%,Knn,0.1815353793032364
EC_ratio-diff,25%,Linear,0.08160110628546274
EC_ratio-diff,25%,RF,0.22019877164095036
EC_ratio-diff,25%,SVM,0.14861890762386565
EC_ratio-diff,50%,Knn,0.1864989177489177
EC_ratio-diff,50%,Linear,0.08751803118866794
EC_ratio-diff,50%,RF,0.2276610332583174
EC_ratio-diff,50%,SVM,0.15703939560203672
EC_ratio-diff,75%,Knn,0.19256609461966606
EC_ratio-diff,75%,Linear,0.09318853618835063
EC_ratio-diff,75%,RF,0.23353456620707833
EC_ratio-diff,75%,SVM,0.16419919315139742
EC_ratio-diff,max,Knn,0.2065326736755308
EC_ratio-diff,max,Linear,0.1054909311136772
EC_ratio-diff,max,RF,0.2578165554339803
EC_ratio-diff,max,SVM,0.1903302853747615
EC_ratio-signed,count,Knn,150.0
EC_ratio-signed,count,Linear,150.0
EC_ratio-signed,count,RF,150.0
EC_ratio-signed,count,SVM,150.0
EC_ratio-signed,mean,Knn,0.7678138528138528
EC_ratio-signed,mean,Linear,0.8386076500422375
EC_ratio-signed,mean,RF,0.6868049771328749
EC_ratio-signed,mean,SVM,0.7311911753113509
EC_ratio-signed,std,Knn,0.009136908835081458
EC_ratio-signed,std,Linear,0.014889558004252018
EC_ratio-signed,std,RF,0.011973969667916636
EC_ratio-signed,std,SVM,0.01833449959426602
EC_ratio-signed,min,Knn,0.7451839826839827
EC_ratio-signed,min,Linear,0.8086948278114068
EC_ratio-signed,min,RF,0.6515569893318024
EC_ratio-signed,min,SVM,0.678546024052765
EC_ratio-signed,25%,Knn,0.7617748917748919
EC_ratio-signed,25%,Linear,0.8287287218227781
EC_ratio-signed,25%,RF,0.6792399025365994
EC_ratio-signed,25%,SVM,0.7184154710630708
EC_ratio-signed,50%,Knn,0.7675108225108225
EC_ratio-signed,50%,Linear,0.8386212042816023
EC_ratio-signed,50%,RF,0.6854929748232715
EC_ratio-signed,50%,SVM,0.7304122213034625
EC_ratio-signed,75%,Knn,0.7741152597402599
EC_ratio-signed,75%,Linear,0.8473952789764508
EC_ratio-signed,75%,RF,0.6949488148747
EC_ratio-signed,75%,SVM,0.7443684626462967
EC_ratio-signed,max,Knn,0.788430735930736
EC_ratio-signed,max,Linear,0.8781766753185481
EC_ratio-signed,max,RF,0.7277492241104503
EC_ratio-signed,max,SVM,0.7720792665826643
EC_ratio-diff-signed,count,Knn,150.0
EC_ratio-diff-signed,count,Linear,150.0
EC_ratio-diff-signed,count,RF,150.0
EC_ratio-diff-signed,count,SVM,150.0
EC_ratio-diff-signed,mean,Knn,0.08277373393801961
EC_ratio-diff-signed,mean,Linear,0.06057480443132483
EC_ratio-diff-signed,mean,RF,0.17354743408253845
EC_ratio-diff-signed,mean,SVM,0.10586870523927877
EC_ratio-diff-signed,std,Knn,0.003985559598948693
EC_ratio-diff-signed,std,Linear,0.007013278829174919
EC_ratio-diff-signed,std,RF,0.008180981030842714
EC_ratio-diff-signed,std,SVM,0.009183630705333486
EC_ratio-diff-signed,min,Knn,0.0687770562770562
EC_ratio-diff-signed,min,Linear,0.0425402537813091
EC_ratio-diff-signed,min,RF,0.1492884399876634
EC_ratio-diff-signed,min,SVM,0.0819150087474046
EC_ratio-diff-signed,25%,Knn,0.0800747268604411
EC_ratio-diff-signed,25%,Linear,0.05608984090970818
EC_ratio-diff-signed,25%,RF,0.1683333326578514
EC_ratio-diff-signed,25%,SVM,0.10023168868208834
EC_ratio-diff-signed,50%,Knn,0.08284142444856725
EC_ratio-diff-signed,50%,Linear,0.060694399386503145
EC_ratio-diff-signed,50%,RF,0.1735524231207381
EC_ratio-diff-signed,50%,SVM,0.1063403709256659
EC_ratio-diff-signed,75%,Knn,0.0853875489589775
EC_ratio-diff-signed,75%,Linear,0.06514330536096807
EC_ratio-diff-signed,75%,RF,0.17929047202664958
EC_ratio-diff-signed,75%,SVM,0.11182508399798265
EC_ratio-diff-signed,max,Knn,0.0928159142444856
EC_ratio-diff-signed,max,Linear,0.0798340926266527
EC_ratio-diff-signed,max,RF,0.1967775943950193
EC_ratio-diff-signed,max,SVM,0.1277497062081369
EC_intersection_union_sample,count,Knn,150.0
EC_intersection_union_sample,count,Linear,150.0
EC_intersection_union_sample,count,RF,150.0
EC_intersection_union_sample,count,SVM,150.0
EC_intersection_union_sample,mean,Knn,0.7678138528138528
EC_intersection_union_sample,mean,Linear,0.8502412555239041
EC_intersection_union_sample,mean,RF,0.6868049771328749
EC_intersection_union_sample,mean,SVM,0.7497658097378158
EC_intersection_union_sample,std,Knn,0.009136908835081458
EC_intersection_union_sample,std,Linear,0.013572942150319438
EC_intersection_union_sample,std,RF,0.011973969667916636
EC_intersection_union_sample,std,SVM,0.015966235889598984
EC_intersection_union_sample,min,Knn,0.7451839826839827
EC_intersection_union_sample,min,Linear,0.824022725961268
EC_intersection_union_sample,min,RF,0.6515569893318024
EC_intersection_union_sample,min,SVM,0.7020391964974824
EC_intersection_union_sample,25%,Knn,0.7617748917748919
EC_intersection_union_sample,25%,Linear,0.8412344598055748
EC_intersection_union_sample,25%,RF,0.6792399025365994
EC_intersection_union_sample,25%,SVM,0.7384047217999872
EC_intersection_union_sample,50%,Knn,0.7675108225108225
EC_intersection_union_sample,50%,Linear,0.849346843029678
EC_intersection_union_sample,50%,RF,0.6854929748232715
EC_intersection_union_sample,50%,SVM,0.7489444767214462
EC_intersection_union_sample,75%,Knn,0.7741152597402599
EC_intersection_union_sample,75%,Linear,0.8580563228971781
EC_intersection_union_sample,75%,RF,0.6949488148747
EC_intersection_union_sample,75%,SVM,0.7611478362563728
EC_intersection_union_sample,max,Knn,0.788430735930736
EC_intersection_union_sample,max,Linear,0.8872147518211518
EC_intersection_union_sample,max,RF,0.7277492241104503
EC_intersection_union_sample,max,SVM,0.7863163993485723
EC_intersection_union_all,count,Knn,150.0
EC_intersection_union_all,count,Linear,150.0
EC_intersection_union_all,count,RF,150.0
EC_intersection_union_all,count,SVM,150.0
EC_intersection_union_all,mean,Knn,0.7538073740406908
EC_intersection_union_all,mean,Linear,0.9128245233414549
EC_intersection_union_all,mean,RF,0.7788674828061523
EC_intersection_union_all,mean,SVM,0.8678967890748589
EC_intersection_union_all,std,Knn,0.008819247057969073
EC_intersection_union_all,std,Linear,0.011047171083527619
EC_intersection_union_all,std,RF,0.009332581031051251
EC_intersection_union_all,std,SVM,0.01289545813586072
EC_intersection_union_all,min,Knn,0.7332615002090769
EC_intersection_union_all,min,Linear,0.8815288157154461
EC_intersection_union_all,min,RF,0.7523636290964589
EC_intersection_union_all,min,SVM,0.8264782120099646
EC_intersection_union_all,25%,Knn,0.7476262000016332
EC_intersection_union_all,25%,Linear,0.9064797773049471
EC_intersection_union_all,25%,RF,0.7724969279692722
EC_intersection_union_all,25%,SVM,0.8588066712173009
EC_intersection_union_all,50%,Knn,0.753247520997955
EC_intersection_union_all,50%,Linear,0.911871195577774
EC_intersection_union_all,50%,RF,0.7789325842245807
EC_intersection_union_all,50%,SVM,0.867539004320016
EC_intersection_union_all,75%,Knn,0.7602259820834227
EC_intersection_union_all,75%,Linear,0.9192219958384663
EC_intersection_union_all,75%,RF,0.7843587631679836
EC_intersection_union_all,75%,SVM,0.8769330511504667
EC_intersection_union_all,max,Knn,0.778463197217292
EC_intersection_union_all,max,Linear,0.9461296877071188
EC_intersection_union_all,max,RF,0.805076301018096
EC_intersection_union_all,max,SVM,0.8998787206628929
EC_intersection_union_distance,count,Knn,150.0
EC_intersection_union_distance,count,Linear,150.0
EC_intersection_union_distance,count,RF,150.0
EC_intersection_union_distance,count,SVM,150.0
EC_intersection_union_distance,mean,Knn,0.09671341991341988
EC_intersection_union_distance,mean,Linear,0.03174669253713801
EC_intersection_union_distance,mean,RF,0.08029203463203459
EC_intersection_union_distance,mean,SVM,0.042437132806945804
EC_intersection_union_distance,std,Knn,0.003988161011509476
EC_intersection_union_distance,std,Linear,0.004216423526789948
EC_intersection_union_distance,std,RF,0.003789096395635456
EC_intersection_union_distance,std,SVM,0.004503310339654378
EC_intersection_union_distance,min,Knn,0.0862337662337662
EC_intersection_union_distance,min,Linear,0.01923805249991
EC_intersection_union_distance,min,RF,0.0698311688311688
EC_intersection_union_distance,min,SVM,0.0314941274471248
EC_intersection_union_distance,25%,Knn,0.0935064935064935
EC_intersection_union_distance,25%,Linear,0.029301552452336625
EC_intersection_union_distance,25%,RF,0.07784740259740258
EC_intersection_union_distance,25%,SVM,0.039221760276588746
EC_intersection_union_distance,50%,Knn,0.0968831168831168
EC_intersection_union_distance,50%,Linear,0.032057151038573
EC_intersection_union_distance,50%,RF,0.08040259740259739
EC_intersection_union_distance,50%,SVM,0.042658866920494795
EC_intersection_union_distance,75%,Knn,0.09967532467532463
EC_intersection_union_distance,75%,Linear,0.03417726220192292
EC_intersection_union_distance,75%,RF,0.08262012987012983
EC_intersection_union_distance,75%,SVM,0.04569655935513953
EC_intersection_union_distance,max,Knn,0.1059740259740259
EC_intersection_union_distance,max,Linear,0.0438381989470431
EC_intersection_union_distance,max,RF,0.0905844155844155
EC_intersection_union_distance,max,SVM,0.0571731547325719
