,,model,0
EC_Class,max,SVM,1.0
EC_ratio,count,Knn,150.0
EC_ratio,count,Linear,150.0
EC_ratio,count,RF,150.0
EC_ratio,count,SVM,150.0
EC_ratio,mean,Knn,0.7542802222222222
EC_ratio,mean,Linear,0.8995636354846577
EC_ratio,mean,RF,0.6208553314836893
EC_ratio,mean,SVM,0.9750694356200282
EC_ratio,std,Knn,0.013035605959675787
EC_ratio,std,Linear,0.015279768097310326
EC_ratio,std,RF,0.011757521206241179
EC_ratio,std,SVM,0.007510272339566211
EC_ratio,min,Knn,0.7128666666666668
EC_ratio,min,Linear,0.8556375023289539
EC_ratio,min,RF,0.5846312824498913
EC_ratio,min,SVM,0.9545796300036488
EC_ratio,25%,Knn,0.7463583333333332
EC_ratio,25%,Linear,0.8906944955793343
EC_ratio,25%,RF,0.6142077151085896
EC_ratio,25%,SVM,0.9695793648399071
EC_ratio,50%,Knn,0.7551111111111111
EC_ratio,50%,Linear,0.8981089593773848
EC_ratio,50%,RF,0.6211106282738617
EC_ratio,50%,SVM,0.9748550557590934
EC_ratio,75%,Knn,0.7603166666666666
EC_ratio,75%,Linear,0.9086535623279881
EC_ratio,75%,RF,0.6276918164322236
EC_ratio,75%,SVM,0.9806665344932091
EC_ratio,max,Knn,0.7954333333333334
EC_ratio,max,Linear,0.9394786255215838
EC_ratio,max,RF,0.6542375296980959
EC_ratio,max,SVM,0.9891286746922447
EC_ratio-diff,count,Knn,150.0
EC_ratio-diff,count,Linear,150.0
EC_ratio-diff,count,RF,150.0
EC_ratio-diff,count,SVM,150.0
EC_ratio-diff,mean,Knn,0.20561966137566134
EC_ratio-diff,mean,Linear,0.06114230572759434
EC_ratio-diff,mean,RF,0.2971079234556321
EC_ratio-diff,mean,SVM,0.016864250552460828
EC_ratio-diff,std,Knn,0.013035686328074971
EC_ratio-diff,std,Linear,0.010594678880962738
EC_ratio-diff,std,RF,0.012215381795389389
EC_ratio-diff,std,SVM,0.006029982244342152
EC_ratio-diff,min,Knn,0.164526455026455
EC_ratio-diff,min,Linear,0.0343739565358049
EC_ratio-diff,min,RF,0.267153694616078
EC_ratio-diff,min,SVM,0.0060786813289328
EC_ratio-diff,25%,Knn,0.1996038359788359
EC_ratio-diff,25%,Linear,0.05498838005076988
EC_ratio-diff,25%,RF,0.28943963963462016
EC_ratio-diff,25%,SVM,0.0122221375697373
EC_ratio-diff,50%,Knn,0.2047719576719576
EC_ratio-diff,50%,Linear,0.06213299309583255
EC_ratio-diff,50%,RF,0.29658012083394325
EC_ratio-diff,50%,SVM,0.0171296938246735
EC_ratio-diff,75%,Knn,0.2136255291005291
EC_ratio-diff,75%,Linear,0.06720287439378433
EC_ratio-diff,75%,RF,0.30482255657980867
EC_ratio-diff,75%,SVM,0.021535250734523247
EC_ratio-diff,max,Knn,0.2482873015873015
EC_ratio-diff,max,Linear,0.095372970595783
EC_ratio-diff,max,RF,0.338538272935839
EC_ratio-diff,max,SVM,0.0340021837386653
EC_ratio-signed,count,Knn,150.0
EC_ratio-signed,count,Linear,150.0
EC_ratio-signed,count,RF,150.0
EC_ratio-signed,count,SVM,150.0
EC_ratio-signed,mean,Knn,0.7542802222222222
EC_ratio-signed,mean,Linear,0.8942654817375899
EC_ratio-signed,mean,RF,0.6208553314836893
EC_ratio-signed,mean,SVM,0.9750681501849018
EC_ratio-signed,std,Knn,0.013035605959675787
EC_ratio-signed,std,Linear,0.01754113789146406
EC_ratio-signed,std,RF,0.011757521206241179
EC_ratio-signed,std,SVM,0.0075113324886497725
EC_ratio-signed,min,Knn,0.7128666666666668
EC_ratio-signed,min,Linear,0.8408546016774892
EC_ratio-signed,min,RF,0.5846312824498913
EC_ratio-signed,min,SVM,0.9545796300036488
EC_ratio-signed,25%,Knn,0.7463583333333332
EC_ratio-signed,25%,Linear,0.8840775386367122
EC_ratio-signed,25%,RF,0.6142077151085896
EC_ratio-signed,25%,SVM,0.9695499854742329
EC_ratio-signed,50%,Knn,0.7551111111111111
EC_ratio-signed,50%,Linear,0.8924882543519272
EC_ratio-signed,50%,RF,0.6211106282738617
EC_ratio-signed,50%,SVM,0.9748550557590934
EC_ratio-signed,75%,Knn,0.7603166666666666
EC_ratio-signed,75%,Linear,0.9047952606363936
EC_ratio-signed,75%,RF,0.6276918164322236
EC_ratio-signed,75%,SVM,0.9806665344932091
EC_ratio-signed,max,Knn,0.7954333333333334
EC_ratio-signed,max,Linear,0.9358024386945538
EC_ratio-signed,max,RF,0.6542375296980959
EC_ratio-signed,max,SVM,0.9891286746922447
EC_ratio-diff-signed,count,Knn,150.0
EC_ratio-diff-signed,count,Linear,150.0
EC_ratio-diff-signed,count,RF,150.0
EC_ratio-diff-signed,count,SVM,150.0
EC_ratio-diff-signed,mean,Knn,0.07242855026455022
EC_ratio-diff-signed,mean,Linear,0.052208125647955184
EC_ratio-diff-signed,mean,RF,0.20339236790007648
EC_ratio-diff-signed,mean,SVM,0.016760120894195284
EC_ratio-diff-signed,std,Knn,0.0058869681273607056
EC_ratio-diff-signed,std,Linear,0.008740015359942429
EC_ratio-diff-signed,std,RF,0.010793335612852787
EC_ratio-diff-signed,std,SVM,0.005990805229125656
EC_ratio-diff-signed,min,Knn,0.0573301587301587
EC_ratio-diff-signed,min,Linear,0.0284544663840505
EC_ratio-diff-signed,min,RF,0.1720186965218008
EC_ratio-diff-signed,min,SVM,0.0060786813289328
EC_ratio-diff-signed,25%,Knn,0.06916587301587294
EC_ratio-diff-signed,25%,Linear,0.046296008005423425
EC_ratio-diff-signed,25%,RF,0.19639051310453165
EC_ratio-diff-signed,25%,SVM,0.0122221375697373
EC_ratio-diff-signed,50%,Knn,0.07360291005291
EC_ratio-diff-signed,50%,Linear,0.0529675034048182
EC_ratio-diff-signed,50%,RF,0.20271616843819923
EC_ratio-diff-signed,50%,SVM,0.016841697976093598
EC_ratio-diff-signed,75%,Knn,0.07652195767195766
EC_ratio-diff-signed,75%,Linear,0.05742878044994672
EC_ratio-diff-signed,75%,RF,0.20912375537618452
EC_ratio-diff-signed,75%,SVM,0.021526331147648202
EC_ratio-diff-signed,max,Knn,0.0861195767195767
EC_ratio-diff-signed,max,Linear,0.0778401959000287
EC_ratio-diff-signed,max,RF,0.2308657356149143
EC_ratio-diff-signed,max,SVM,0.0340021837386653
EC_intersection_union_sample,count,Knn,150.0
EC_intersection_union_sample,count,Linear,150.0
EC_intersection_union_sample,count,RF,150.0
EC_intersection_union_sample,count,SVM,150.0
EC_intersection_union_sample,mean,Knn,0.7542802222222222
EC_intersection_union_sample,mean,Linear,0.8969145586111239
EC_intersection_union_sample,mean,RF,0.6208553314836893
EC_intersection_union_sample,mean,SVM,0.9750687929024651
