,,model,0
EC_ratio,std,SVM,0.027543566026233892
EC_ratio,min,Knn,0.7173931623931624
EC_ratio,min,Linear,0.589753918799967
EC_ratio,min,RF,0.4817206704682131
EC_ratio,min,SVM,0.7335865508626737
EC_ratio,25%,Knn,0.7665918803418803
EC_ratio,25%,Linear,0.6367949852639072
EC_ratio,25%,RF,0.5433780994121226
EC_ratio,25%,SVM,0.783345439363564
EC_ratio,50%,Knn,0.7778632478632479
EC_ratio,50%,Linear,0.6513665511090321
EC_ratio,50%,RF,0.5579946257565346
EC_ratio,50%,SVM,0.8020511672536355
EC_ratio,75%,Knn,0.7934081196581197
EC_ratio,75%,Linear,0.6699072906507908
EC_ratio,75%,RF,0.5712937989114696
EC_ratio,75%,SVM,0.8155524562488339
EC_ratio,max,Knn,0.8295726495726495
EC_ratio,max,Linear,0.7024276864671186
EC_ratio,max,RF,0.6248312457813632
EC_ratio,max,SVM,0.8657786885567216
EC_ratio-diff,count,Knn,150.0
EC_ratio-diff,count,Linear,150.0
EC_ratio-diff,count,RF,150.0
EC_ratio-diff,count,SVM,150.0
EC_ratio-diff,mean,Knn,0.19256455026455024
EC_ratio-diff,mean,Linear,0.24909564847771842
EC_ratio-diff,mean,RF,0.3615893599297691
EC_ratio-diff,mean,SVM,0.127031090338934
EC_ratio-diff,std,Knn,0.020384387186418735
EC_ratio-diff,std,Linear,0.02020090536611657
EC_ratio-diff,std,RF,0.025962301045634965
EC_ratio-diff,std,SVM,0.019908518601906126
EC_ratio-diff,min,Knn,0.1471591371591371
EC_ratio-diff,min,Linear,0.2091664979334813
EC_ratio-diff,min,RF,0.2967572229346656
EC_ratio-diff,min,SVM,0.0794278810219754
EC_ratio-diff,25%,Knn,0.1800315425315425
EC_ratio-diff,25%,Linear,0.23278107200183998
EC_ratio-diff,25%,RF,0.34660517981145217
EC_ratio-diff,25%,SVM,0.1153353940713333
EC_ratio-diff,50%,Knn,0.1933933658933658
EC_ratio-diff,50%,Linear,0.2501164212495073
EC_ratio-diff,50%,RF,0.36113295359262876
EC_ratio-diff,50%,SVM,0.1240103469460315
EC_ratio-diff,75%,Knn,0.20577024827024826
EC_ratio-diff,75%,Linear,0.2644905964804225
EC_ratio-diff,75%,RF,0.37599533831645005
EC_ratio-diff,75%,SVM,0.13756625013954804
EC_ratio-diff,max,Knn,0.2548026048026048
EC_ratio-diff,max,Linear,0.3063461149580838
EC_ratio-diff,max,RF,0.4390960882407764
EC_ratio-diff,max,SVM,0.1804135230616394
EC_ratio-signed,count,Knn,150.0
EC_ratio-signed,count,Linear,150.0
EC_ratio-signed,count,RF,150.0
EC_ratio-signed,count,SVM,150.0
EC_ratio-signed,mean,Knn,0.7801111111111112
EC_ratio-signed,mean,Linear,0.5462906150766659
EC_ratio-signed,mean,RF,0.5570854988255527
EC_ratio-signed,mean,SVM,0.7845082030464147
EC_ratio-signed,std,Knn,0.021210320029434244
EC_ratio-signed,std,Linear,0.028617465714157363
EC_ratio-signed,std,RF,0.026393814823049835
EC_ratio-signed,std,SVM,0.03382609260650175
EC_ratio-signed,min,Knn,0.7173931623931624
EC_ratio-signed,min,Linear,0.4773289418600604
EC_ratio-signed,min,RF,0.4817206704682131
EC_ratio-signed,min,SVM,0.6944783325852754
EC_ratio-signed,25%,Knn,0.7665918803418803
EC_ratio-signed,25%,Linear,0.5290068120043726
EC_ratio-signed,25%,RF,0.5433780994121226
EC_ratio-signed,25%,SVM,0.7640675588660826
EC_ratio-signed,50%,Knn,0.7778632478632479
EC_ratio-signed,50%,Linear,0.5465282683895275
EC_ratio-signed,50%,RF,0.5579946257565346
EC_ratio-signed,50%,SVM,0.7861487711861064
EC_ratio-signed,75%,Knn,0.7934081196581197
EC_ratio-signed,75%,Linear,0.5635347573735581
EC_ratio-signed,75%,RF,0.5712937989114696
EC_ratio-signed,75%,SVM,0.8052698789620845
EC_ratio-signed,max,Knn,0.8295726495726495
EC_ratio-signed,max,Linear,0.6180213433267415
EC_ratio-signed,max,RF,0.6248312457813632
EC_ratio-signed,max,SVM,0.8657786885567216
EC_ratio-diff-signed,count,Knn,150.0
EC_ratio-diff-signed,count,Linear,150.0
EC_ratio-diff-signed,count,RF,150.0
EC_ratio-diff-signed,count,SVM,150.0
EC_ratio-diff-signed,mean,Knn,0.05020557590557587
EC_ratio-diff-signed,mean,Linear,0.1241013740352238
EC_ratio-diff-signed,mean,RF,0.19803380437421353
EC_ratio-diff-signed,mean,SVM,0.10233545017762731
EC_ratio-diff-signed,std,Knn,0.006466139025956904
EC_ratio-diff-signed,std,Linear,0.022028485444167956
EC_ratio-diff-signed,std,RF,0.01740235244833299
EC_ratio-diff-signed,std,SVM,0.01661316086425417
EC_ratio-diff-signed,min,Knn,0.0322385022385022
EC_ratio-diff-signed,min,Linear,0.0709889297505341
EC_ratio-diff-signed,min,RF,0.1410295068719004
EC_ratio-diff-signed,min,SVM,0.068748272239196
EC_ratio-diff-signed,25%,Knn,0.04659137159137152
EC_ratio-diff-signed,25%,Linear,0.10814968382616766
EC_ratio-diff-signed,25%,RF,0.18505167887348667
EC_ratio-diff-signed,25%,SVM,0.08996510086155451
EC_ratio-diff-signed,50%,Knn,0.05012006512006505
EC_ratio-diff-signed,50%,Linear,0.12374168673548445
EC_ratio-diff-signed,50%,RF,0.1991610551232757
EC_ratio-diff-signed,50%,SVM,0.10256752289524734
EC_ratio-diff-signed,75%,Knn,0.054286731786731775
EC_ratio-diff-signed,75%,Linear,0.14094457933396284
EC_ratio-diff-signed,75%,RF,0.2112012425843116
EC_ratio-diff-signed,75%,SVM,0.11170431861916343
EC_ratio-diff-signed,max,Knn,0.0667338217338217
EC_ratio-diff-signed,max,Linear,0.1828233009608863
EC_ratio-diff-signed,max,RF,0.2424141228362596
EC_ratio-diff-signed,max,SVM,0.1445878816535122
EC_intersection_union_sample,count,Knn,150.0
EC_intersection_union_sample,count,Linear,150.0
EC_intersection_union_sample,count,RF,150.0
EC_intersection_union_sample,count,SVM,150.0
EC_intersection_union_sample,mean,Knn,0.7801111111111112
EC_intersection_union_sample,mean,Linear,0.599211310177706
EC_intersection_union_sample,mean,RF,0.5570854988255527
EC_intersection_union_sample,mean,SVM,0.7927292790676355
