,MSqE,MAE,MAPE,R2,Accuracy,model,EC_Class,EC_ratio,EC_ratio-diff,EC_ratio-signed,EC_ratio-diff-signed,EC_intersection_union_sample,EC_intersection_union_all,EC_intersection_union_distance
96,0.14839103468009168,0.3172622285011001,-16994.409006402762,0.13525038065214653,0.7706666666666667,Linear,0.8976386514776606,0.8763612174893003,0.07722430029135875,0.8660508781565529,0.06662685465894982,0.8712060478229265,0.9240675784254693,0.0251779606380207
97,0.14831492457178172,0.3169214428169481,-16964.13063818094,0.13569391275185508,0.7706666666666667,Linear,0.9013513513513514,0.8581320769060085,0.09326189881481417,0.8408546016774892,0.0569307317050103,0.8494933392917489,0.9188023591992545,0.027006482415823038
98,0.14830812581123626,0.31726262219064766,-16979.935407999037,0.13573353256855353,0.7666666666666667,Linear,0.9292542166226376,0.8927640350400597,0.06502157596788237,0.8866689926298109,0.04488676569275922,0.8897165138349352,0.9342629348540592,0.021657116274299237
99,0.14824583043366948,0.31691221752798276,-16946.698323596556,0.1360965592443507,0.7693333333333333,Linear,0.9175278219395867,0.8905265392674425,0.06480565906472574,0.8852450889139734,0.056191530435077915,0.8878858140907079,0.933089254295848,0.022029644231394526
100,0.14820474023108304,0.31711223767968744,-16965.57258068884,0.13633601263937645,0.7639999999999999,Linear,0.9453453453453452,0.915282982091415,0.053128283477961155,0.9087881746967938,0.03600420752664543,0.9120355783941043,0.9534077237317027,0.015161736300452519
101,0.1481392105711956,0.31706110302243656,-16964.296267287464,0.13671788711424498,0.7639999999999999,Linear,0.93490990990991,0.897393346995102,0.06206802929514557,0.8916703514389556,0.05401590993550121,0.8945318492170288,0.9476257703643022,0.017087132630372343
102,0.14819740235896292,0.3171025182032713,-16954.659724192697,0.13637877413191785,0.7653333333333333,Linear,0.956006006006006,0.898871684759811,0.06098207118852784,0.8984922232061548,0.056351148399341175,0.898681953982983,0.9478465254390326,0.01701631352974947
103,0.14808957683886653,0.31704592152196287,-16953.259928485953,0.13700712797863332,0.7626666666666667,Linear,0.9563063063063062,0.9275319205275506,0.04320053937459697,0.922989171421661,0.04276302457954992,0.9252605459746058,0.9638411156904617,0.011692945142110887
104,0.1481243574610921,0.3170450576142284,-16958.349406145986,0.13680444369992978,0.7666666666666666,Linear,0.9234234234234233,0.916074637326545,0.051538822150409794,0.9152034732894638,0.04766308371291679,0.9156390553080043,0.9580736508513426,0.01367661171766288
105,0.14836661896565953,0.3170253302730283,-16951.76556792917,0.13539266337028258,0.768,Linear,0.9230394680394681,0.8963136871603107,0.05950253219234197,0.8945752539613048,0.056698362164784515,0.8954444705608078,0.9281058618329606,0.023831231569242012
106,0.1481835208600995,0.3169930316012644,-16943.54607781646,0.1364596686474391,0.772,Linear,0.8903638933050697,0.8960240399372977,0.06403147586127482,0.8909034431079046,0.04786608241566907,0.8934637415226013,0.943608794846844,0.018438295858727957
107,0.14828171157748474,0.3170010184554391,-16961.672195557978,0.13588746166966956,0.764,Linear,0.9833333333333332,0.8806648526456777,0.0712648274068399,0.8780679804630738,0.06924616590796023,0.8793664165543756,0.9309205216941102,0.022742969591692946
108,0.14818376491227586,0.3170557989936574,-16956.519016282233,0.1364582464319591,0.7653333333333332,Linear,0.9398648648648649,0.9047286328767511,0.05726695268581426,0.9024147537596645,0.05502158762215616,0.9035716933182079,0.9454755878832352,0.01781295583279186
109,0.14812842174290744,0.3170509827284348,-16953.54537780891,0.13678075907396617,0.7653333333333334,Linear,0.9504504504504505,0.921620681258524,0.04608315645918509,0.921620681258524,0.04608315645918509,0.921620681258524,0.9597215092905621,0.013088549275155226
110,0.14814583986756194,0.31718431834238003,-16971.90540477147,0.13667925485103793,0.768,Linear,0.9337666237666238,0.8937817918266289,0.0669967526033464,0.8849404459384592,0.04948686429156546,0.8893611188825441,0.9473833946599738,0.017160896382040717
111,0.14814736981952317,0.317004365072275,-16953.468982656275,0.136670339047068,0.7626666666666667,Linear,0.9457957957957956,0.9166077895610697,0.05030235990350426,0.9163646818594476,0.04277368669450337,0.9164862357102586,0.9547335051628334,0.014711775310288682
112,0.14817886247508927,0.3170046835586427,-16957.51461632242,0.13648681541323285,0.764,Linear,0.9506670956670957,0.901069055783901,0.061305499570379,0.8951337752152184,0.04578644610183257,0.8981014154995598,0.9425109594415428,0.018814801927296603
113,0.14825561421515193,0.3169617619382503,-16964.638117548107,0.13603954420074657,0.764,Linear,0.9245729187834449,0.8777196138072983,0.08178272893119784,0.8678970557911433,0.07324793944231653,0.8728083347992209,0.9318451391184365,0.02247312357783481
114,0.14815275686146573,0.3170340264544892,-16964.043376837988,0.13663894602875476,0.7666666666666667,Linear,0.9558558558558558,0.8938580506201246,0.06971364177650569,0.8894426875805429,0.05134206031089199,0.8916503691003336,0.9473953623364666,0.01713961363997307
115,0.14823247775198498,0.3171628735151451,-16972.36796073552,0.13617437207467975,0.7706666666666667,Linear,0.8873330762804447,0.9088133181379967,0.055090290402897715,0.9081862686049308,0.04556958038995264,0.9084997933714637,0.9458135465060564,0.017722067667984932
116,0.14823380846576634,0.31737035173514383,-16986.356511596416,0.13616661733236413,0.7693333333333333,Linear,0.9066688116688117,0.8981591034975545,0.06222852703441731,0.8889089180924273,0.04626355424988141,0.8935340107949908,0.9461297555996475,0.01760316077882709
117,0.14812863830993134,0.3170550469636314,-16953.40583647688,0.13677949702837228,0.7653333333333334,Linear,0.9398605748605748,0.9320770872427935,0.03723346607249674,0.9320770872427935,0.03723346607249674,0.9320770872427935,0.9530744570131178,0.015280607149504206
118,0.14826516125528094,0.31740473273404013,-17007.020552654598,0.13598390876875915,0.7653333333333333,Linear,0.9451661812188128,0.8981412997288714,0.06213106077872046,0.8901588320181159,0.050868706257128866,0.8941500658734935,0.9417045847340375,0.019116967210917355
119,0.14825039021029204,0.3171009112165163,-16965.701219751514,0.1360699871195105,0.7653333333333332,Linear,0.909564625354099,0.9067914152107138,0.05471520665741185,0.9042415651410979,0.04777879650926916,0.9055164901759056,0.9411473875020254,0.019291640946965442
120,0.14820234204283755,0.3170801106147236,-16957.15565936984,0.1363499880953524,0.7653333333333332,Linear,0.9298285127232495,0.9013085965779286,0.058628802843863126,0.8946873656610231,0.05082075849695507,0.8979979811194757,0.944986609506658,0.01796743435547633
121,0.14826248465894082,0.3170026767985668,-16965.517239786855,0.13599950664952917,0.7626666666666666,Linear,0.9405405405405407,0.8767784046408269,0.07918136053768851,0.8695150962111047,0.06235887069602166,0.8731467504259658,0.930633326757682,0.022825327871093235
122,0.14815772506754216,0.3170319911967531,-16955.979893627846,0.13660999377889216,0.764,Linear,0.9346846846846846,0.897274416161201,0.0638830773584592,0.8927072912705314,0.054302003115495504,0.8949908537158663,0.9479074777927348,0.016992427640373134
123,0.14820443114081375,0.31721135327868877,-16968.663217786023,0.136337813864722,0.772,Linear,0.8823470440807902,0.9082150386926015,0.05553282367130358,0.9026337833230454,0.03953143767256615,0.9054244110078234,0.9511489329994907,0.01592515160798147
124,0.14834177192200398,0.31701663660500695,-16965.522848152446,0.13553745966198166,0.7706666666666666,Linear,0.8908143437555204,0.9034807966084865,0.05658452549429673,0.9032744117818502,0.05164808002722661,0.9033776041951684,0.937797457302195,0.02046291899059488
125,0.14817934495827476,0.31721468350984444,-16990.069265973307,0.1364840037396577,0.768,Linear,0.9177536388062704,0.909683978621316,0.05383063555971226,0.8982452272986945,0.04142263242432791,0.9039646029600054,0.9479124373052026,0.017005587571915014
126,0.1483142079660238,0.3171778775934073,-16971.467255828957,0.1356980887760854,0.768,Linear,0.9131248895954778,0.8883295678970308,0.06689233130651706,0.8861021864533768,0.06447649056467986,0.8872158771752038,0.9341188558981605,0.021733807922446308
127,0.1482753712666439,0.3170959274324917,-16954.612834765296,0.13592440986804272,0.7666666666666666,Linear,0.961098241098241,0.9118313971847184,0.05019699127874328,0.9082544504913461,0.04902303746130375,0.9100429238380323,0.9404844639543862,0.0195197414166929
